ep,return,steps,corr_frac,pol_loss,val_loss,entropy,smooth_return
1147,-129.0,300,0.04666666666666667,-0.2581453025341034,560.8756103515625,4.2009758949279785,-79.73860045048187
1148,-133.5,300,0.03666666666666667,0.3773486018180847,570.833984375,4.560865879058838,-82.42667042795777
1149,-35.5,143,0.16783216783216784,0.09340136498212814,153.79627990722656,2.7652676105499268,-80.0803369065599
1150,-97.5,300,0.11666666666666667,0.21413590013980865,303.70111083984375,3.019521474838257,-80.9513200612319
1151,-139.5,300,0.023333333333333334,-0.5419527292251587,586.396484375,4.684270858764648,-83.87875405817029
1152,5.0,53,0.39622641509433965,-0.04770152270793915,6.11547327041626,1.177273154258728,-79.43481635526177
1153,-108.0,300,0.09333333333333334,-0.12234161794185638,363.9593811035156,3.8301522731781006,-80.86307553749869
1154,-103.5,300,0.10333333333333333,0.1294514238834381,331.1004638671875,3.5243828296661377,-81.99492176062374
1155,-139.5,300,0.023333333333333334,0.4000256061553955,603.310302734375,4.621261119842529,-84.87017567259254
1156,-14.0,49,0.14285714285714285,-0.33495524525642395,20.81402015686035,2.7039871215820312,-81.3266668889629
1157,94.5,273,0.5641025641025641,-0.27643486857414246,497.81158447265625,1.2686045169830322,-72.53533354451476
1158,-111.0,300,0.08666666666666667,0.24315045773983002,330.9297180175781,4.103986740112305,-74.45856686728901
1159,-145.5,300,0.01,-0.15626664459705353,626.3191528320312,4.588710308074951,-78.01063852392456
1160,-72.0,222,0.11711711711711711,-0.23439982533454895,203.18284606933594,2.7333645820617676,-77.71010659772831
1161,-88.5,300,0.13666666666666666,-0.7628326416015625,209.8452606201172,2.8806214332580566,-78.2496012678419
1162,-150.0,300,0.0,0.009800796397030354,648.4342651367188,4.767239093780518,-81.8371212044498
1163,-82.5,300,0.15,-0.3944060504436493,287.00830078125,3.7335376739501953,-81.8702651442273
1164,-102.0,291,0.09965635738831616,-0.5982273817062378,327.4393310546875,3.280475616455078,-82.87675188701593
1165,-106.5,300,0.09666666666666666,0.562932014465332,355.4160461425781,3.4917185306549072,-84.05791429266513
1166,-133.5,300,0.03666666666666667,0.3030705153942108,531.7772216796875,3.90958833694458,-86.53001857803187
1167,-108.0,300,0.09333333333333334,-0.42116469144821167,366.5273132324219,3.823403835296631,-87.60351764913028
1168,-115.5,300,0.07666666666666666,0.3654809594154358,453.3368225097656,3.78597092628479,-88.99834176667378
1169,26.5,97,0.5154639175257731,-0.10770551860332489,69.08642578125,1.3847326040267944,-83.22342467834008
1170,61.0,151,0.6026490066225165,-0.47091028094291687,286.5102844238281,1.4532734155654907,-76.01225344442308
1171,-82.5,300,0.15,-0.05765477567911148,303.517822265625,2.462172746658325,-76.33664077220192
1172,-121.5,300,0.06333333333333334,0.4770772457122803,433.26312255859375,4.136214256286621,-78.59480873359182
1173,-4.0,11,0.09090909090909091,-0.1375584453344345,1.535439133644104,3.174344301223755,-74.86506829691223
1174,-91.5,300,0.13,-0.04240811616182327,275.1894226074219,3.1255011558532715,-75.69681488206662
1175,-72.0,300,0.17333333333333334,-0.21082565188407898,136.7089385986328,2.9209070205688477,-75.51197413796328
1176,-7.5,300,0.31666666666666665,-0.39658764004707336,71.19722747802734,2.4443092346191406,-72.11137543106511
1177,-126.0,300,0.05333333333333334,-0.0276960376650095,505.0691223144531,3.9015085697174072,-74.80580665951184
1178,-30.0,300,0.26666666666666666,-0.03808395564556122,51.00126647949219,2.850146532058716,-72.56551632653625
1179,-130.5,300,0.043333333333333335,-0.24117562174797058,509.7544250488281,3.6384387016296387,-75.46224051020944
1180,-132.0,300,0.04,0.3447039723396301,583.2101440429688,4.721472263336182,-78.28912848469896
1181,-123.0,300,0.06,0.5587843060493469,498.88043212890625,4.206465721130371,-80.52467206046401
1182,-127.5,300,0.05,0.2519790232181549,484.6835021972656,3.775810956954956,-82.87343845744081
1183,17.5,22,0.8636363636363636,-0.05047811195254326,47.171043395996094,0.671221911907196,-77.85476653456877
1184,-21.0,300,0.2866666666666667,-0.5921656489372253,92.78751373291016,3.2078661918640137,-75.01202820784032
1185,-1.0,17,0.29411764705882354,-0.3072317838668823,3.0618507862091064,4.411779403686523,-71.31142679744829
1186,-124.5,300,0.056666666666666664,0.2925114035606384,449.6377258300781,4.612220287322998,-73.97085545757587
1187,-118.5,300,0.07,-0.5822897553443909,440.6199645996094,3.738654136657715,-76.19731268469707
1188,-15.0,57,0.15789473684210525,-0.39076903462409973,17.167184829711914,3.6523149013519287,-73.13744705046221
1189,-78.0,300,0.16,-0.20479728281497955,258.30718994140625,3.2339227199554443,-73.38057469793911
1190,-142.5,300,0.016666666666666666,0.2685045301914215,613.724365234375,5.040426731109619,-76.83654596304216
1191,-96.0,300,0.12,0.02126927673816681,314.67218017578125,2.859553337097168,-77.79471866489004
1192,26.5,64,0.609375,-0.2677198052406311,69.72770690917969,1.058016300201416,-72.57998273164553
1193,5.0,26,0.46153846153846156,-0.8686363697052002,2.054187297821045,1.7412749528884888,-68.70098359506325
1194,-40.5,300,0.24333333333333335,-0.2526489794254303,110.56829833984375,2.457711696624756,-67.29093441531009
1195,-142.5,300,0.016666666666666666,-0.1542435586452484,622.1025390625,5.04246711730957,-71.05138769454459
1196,-133.5,300,0.03666666666666667,0.2598458230495453,606.5975341796875,4.570572853088379,-74.17381830981735
1197,13.5,21,0.7619047619047619,-0.4198319613933563,26.868318557739258,1.1817150115966797,-69.79012739432648
1198,-66.0,300,0.18666666666666668,-0.1198711022734642,164.49685668945312,2.4505441188812256,-69.60062102461015
1199,-63.0,300,0.19333333333333333,-0.07459475100040436,162.99481201171875,3.0440280437469482,-69.27058997337964
1200,-133.5,300,0.03666666666666667,0.42785555124282837,608.0868530273438,4.554646015167236,-72.48206047471065
1201,-57.5,259,0.18532818532818532,-0.37523987889289856,107.80079650878906,3.3948307037353516,-71.73295745097512
1202,-136.5,300,0.03,-0.6696382761001587,502.049072265625,4.584855079650879,-74.97130957842637
1203,-138.0,300,0.02666666666666667,-0.02157541923224926,570.7935791015625,3.6229212284088135,-78.12274409950506
1204,-112.5,300,0.08333333333333333,0.312258243560791,408.3873596191406,4.576370716094971,-79.8416068945298
1205,75.0,102,0.8235294117647058,-0.016386734321713448,499.3592529296875,0.9351416230201721,-72.09952654980331
1206,-109.5,300,0.09,0.049154143780469894,367.4118347167969,4.228112697601318,-73.96955022231315
1207,-105.0,300,0.1,-0.12398343533277512,360.388916015625,3.018188238143921,-75.52107271119749
1208,-19.0,110,0.21818181818181817,-0.2328883409500122,21.491979598999023,2.66774845123291,-72.69501907563762
1209,-2.5,38,0.2894736842105263,-0.23434308171272278,5.426709175109863,1.5201261043548584,-69.18526812185573
1210,1.0,1,1.0,0.0,0.49952298402786255,0.0,-65.67600471576294
1211,-147.0,300,0.006666666666666667,-0.18464693427085876,625.9305419921875,5.007585525512695,-69.74220447997479
1212,-105.0,300,0.1,-0.47332850098609924,369.2548522949219,3.707430124282837,-71.50509425597605
1213,-8.0,82,0.2682926829268293,-0.13534408807754517,5.457292079925537,1.4335978031158447,-68.32983954317724
1214,-57.0,300,0.20666666666666667,-0.24121277034282684,177.53390502929688,2.5278544425964355,-67.76334756601837
1215,12.5,20,0.75,0.234422966837883,33.355445861816406,0.5615778565406799,-63.75018018771745
1216,-97.5,300,0.11666666666666667,0.3123369812965393,276.4735107421875,2.949150562286377,-65.43767117833157
